ts	p	f	e	r	c	l	ec	ep	infap	infaf	infbp	infbf	noInf	app	apf	ppp	ppf	psp	psf	ssp	ssf	tppp	tppf	prp	prf	pprtp	pprtf	shortIntrans	noOo	sepOo	separationAtP	separationAtF	diacExcept	a
1527817075	آزرده	aazUrdá	offended, affronted, hurt	1	adj.																													2
1527817447	آزرده خاطر	aazUrda khaatír	upset, offended, hurt	1	adj.																													2
1527822662	ابایي	abaayée	paternal, ancestral, that which is taken on or inherited from the family	4	adj.																													2
1527817793	ابدي	abadée	eternal, to all eternity	4	adj.																													2
1527818429	عبث	abás	empty, worthless, vain, idle, useless, nonsense, squandered	4	adj.																													2
1585398951862	ابلک	ablák	two-colored, piebald; (fig. two-faced, hypocritical)	4	adj.																													2
1585398948903	ابلق	abláq	two-colored, piebald; (fig. two-faced, hypocritical)	3	adj.																													2
1527817112	ابلون	ablón, ablóon	wet, watery, moist, humid	2	adj.																													2
1527818802	عبوس	abóos	glum, sulky, surly, grumpy	1	adj.																													2
1576439289492	ابرومند	abroománd	honourable	4	adj.																													2
1690458818627	ادب کوونکی	adab kawóonkay	polite, civil, well-mannered, respectable	4	adj.																													2
1527822908	ادبي	adabée	literary	4	adj.																													2
1527814765	عددي	adadée	numerical	2	adj.																													2
1527818659	عدیل	adéel	even, equal, the same	2	adj.																													2
1527814659	عدلي	adlée	forensic, legal, judicial (Arabic)	3	adj.																													2
1527818433	ادنا	adnáa	low in position, small, trifle, insignificant, paltry, low-quality	4	adj.																													2
1527814100	افغاني	afghaanée	Afghan	4	adj.																													2
1527817269	افریقي	afreeqée	African	4	adj.																													2
1527813308	افسانوي	afsaanawée	legendary, mythical	3	adj.																													3
1527817423	افسرده	afsUrdá	freezing; fading, withering; sad, disheartened, depressed, cheerless	3	adj.																													2
1527817424	افسرده دل	afsUrda díl	sad, disheartened, depressed, cheerless	2	adj.																													2
1577232206938	اګاه	agáah	wise, informed, knowing, aware	4	adj.																													3
1690458820794	اغیزمن	aghayzmán	effective, affected	4	adj.																													2
1690458821385	اغلی	aghúlay	refined, elegant, beautiful; pleasing, pleasant, nice; esteemed; proper, suitable, fitting (ښاغلی); used for Mrs. title for ladies	2	adj.																													2
1527813667	اهم	ahám	important	4	adj.																													3
1527820257	اهلي	ahlée, ahulée	domesticated, tame, domestic (obedient, compliant, addicted??)	4	adj.																													2
1527813780	احساساتي	ahsaasaatée, ihstaastaatée	emotional, passionate, sensitive	3	adj.																													2
1527822714	عجب	ajáb	surprising, amazing, astounding, strange	3	adj.																													2
1527822715	اجب	ajáb	surprising, amazing, astounding, strange (عجب)	3	adj.																													2
1527821769	عجیب الشکل	ajeeb Ulshákl	strange looking, unusual	2	adj.																													2
1527813491	عجیبه	ajeebá	strange, amazing, absurd, unusual, weird, odd	4	adj.																													3
1527819128	اجنبي	ajnabée	foreign, alien, strange	3	adj.																													2
1527811445	اجوت	ajwát	attached, tied to, bound, near, next to	1	adj.																													
1527817512	اخلاقي	akhlaaqee, ikhlaaqée	moral, pertaining to ethics and morals	4	adj.																													2
1527812446	اخته	akhtá	occupied with, engrossed in, busy	4	adj.																													3
1732379707704	اختریز	akhtaréez	pertaining to holiday, pertaining to Eid (اخترېز پیغام - holiday message)	4	adj.																													
1664091268679	اخترېز	akhtaréz	pertaining to holiday, pertaining to Eid (اخترېز پیغام - holiday message)	4	adj.																													2
1527821771	علاقه دار	alaaqa dáar	relating to something, having an interest in something	3	adj.																													2
1527821775	علاقه مند	alaaqa mánd	interested, concerned, keen on, interested in	3	adj.																													2
1671208957051	علني	alanée	public, open, honest, frank; audience, spectators, public (noun)	3	adj.																													2
1602179816100	الفبایي	alfabaayée	alphabetic	4	adj.																													2
1527819595	الواکي	alwaakée	theoretical	2	adj.																													2
1527821385	الوداعي	alwidaa'ée	parting, valedictory, pertaining to farewell, leave-taking	4	adj.																													2
1527823400	الیافي	alyaafée, ilyaafée	fibrous	3	adj.																													2
1566478626044	امانت دار	amaanat dáar	trustworthy, conscientious	4	adj.																													2
1527821191	عملبند	amalbánd	suffering from constipation, constipated	2	adj.																													2
1527814818	عملي	amalée	in practice, in operation, practical	4	adj.																													2
1713865594166	عملي کول	amalee kawúl	to apply, put in practice, put into action		v. stat. comp. trans.	1527814818	apply																											3
1713865599617	عملي کېدل	amalee kedúl	to be applied, put in practice, put into action		v. stat. comp. intrans.	1527814818	be	applied																										2
1527817449	امن پسند	aman pisánd, aman pisánd	peace-loving, peaceful	4	adj.																													2
1527813520	عمیق	améeq	deep, profound	4	adj.																													2
1527815797	عمیق	améeq	deep, profound	3	adj.																													2
1527814674	امنیتي	amnyatée	security	4	adj.																													2
1527818886	اموخته	amokhtá	used to, accustomed to, adjusted to, tame	4	adj.																													2
1527814737	امریکایي	amreekaayée	American	4	adj.																													2
1527817552	عنعنه پسند	an'ana pisánd, an'ana pasánd	conservative, adhering to tradition	2	adj.																													2
1527811767	اندامور	andaamawár	tall, big	4	adj.																													2
1690458822051	اندېښمنوونکی	andexmanawóonkay	worrisome, troubling, concerning		adj.																													2
1527819075	اندېښمن	andexmún, andexmán	worried, troubled, concerned	4	adj.																													2
1591972115837	اندروني	androonée	inner	4	adj.																													2
1527817540	انځوریز	andzooréez	pictoral, with pictures	4	adj.																													2
1527820346	انلاین	anláayn	on-line	3	adj.																													2
1666108997434	انتاني	antaanée	infectious	4	adj.																													2
1527817769	انتیکه	anteeká	rare, unique thing, strange, funny	2	adj.																													2
1677572258589	اپوټه	apooTá	overturned, upside-down, opposite		adj.																													3
1589021140384	عقیدتي	aqeedatée	pious, religious (person)	3	adj.																													2
1595253270130	عقیدوي	aqeedawée	doctrinal, religious, pertaining to beliefs	4	adj.																													2
1690458823723	عقل خوځېدلی	aqul khwadzedúlay, aqul khodzedúlay	not right in the head, not mentally sound, crazy, mad	2	adj.																													2
1527814112	عقل مند	aqul mánd	smart, wise	3	adj.																													2
1527814795	اړ	aR	forced, compelled, in need	4	adj.																													3
1527814722	اړنګمن	aRangmán	suspected, doubtful, confused, undecided	2	adj.																													2
1527817948	اړولي	aRawúlee	muddled up, inappropriate, useemly, indecent	4	adj.																													
1732376469734	اړولی	aRawúlay	muddled up, inappropriate, useemly, indecent	4	adj.																													2
1527813170	اریب	aréeb	bent, twisted, wry, askew, crooked, crazy, loony, sloped	1	adj.																													2
1527813656	اړین	aRéen	necessary, needed, important, crucial, vital	4	adj.																													2
1527814587	اړینه	aRéena	important, crucial, vital	4	adj.																													2
1572991685973	اړمن	aRmán	obliged, forced to, (مجبور), in need	2	adj.																													2
1527817209	اروپایي	aroopaayée, Uroopaayée	European	4	adj.																													2
1573663943732	ارت	arat, art	wide, spacious, extensive	4	adj.																													3
1527813902	اروایي	arwaayée	psychologically, mentally	3	adj.																													2
1527813909	اړوند	aRwánd	related, connected, dependent	4	adj.																													2
1575235389810	اریان	aryáan	amazed, suprised, stunned, dumbfounded, speechless, taken aback (حيران)	4	adj.																													2
1677571965062	اریایي	aryaayée	Aryan		adj.																													2
1527812465	ارزان	arzáan	cheap, inexpensive	4	adj.																													3
1644343901423	ارزښتناک	arzixtnáak	valuable	4	adj.																													2
1527814345	ارزښتمن	arzuxtmán, arzixtmán	valuable, important	3	adj.																													2
1527818821	اسهامي	as`haamée	joint-stock, share	1	adj.																													2
1527814059	اسان	asáan	easy	4	adj.																													3
1527813447	اساسي	asaasée	fundamental, key, essential, principal	4	adj.																													2
1678218457589	اساطیري	asaateerée	mythological		adj.																													2
1527818687	اسفناک	asafnáak, asfnáak	regretful, sad, unfortunate	1	adj.																													2
1527821649	اثرناک	asarnáak	impressive, effective, influencing	4	adj.	1527815870																												3
1527811478	اصیل	aséel	nobel, of high birth, purebred, real	4	adj.																													2
1527816938	عسکري	askarée	army, military	4	adj.																													2
1690458823761	اسکېرلی	askerúlay	pitiful, weak, feeble, faint	1	adj.																													
1527814226	اصلي	aslée	real, actual, original, genuine, essential	4	adj.																													3
1588849760045	اسپه	aspá	spotted, thick	4	adj.																													2
1527816243	عصري	asrée	modern	3	adj.																													2
1527820202	استرالیایي	astraaliyaayée, istraaliyaayée	Australian	4	adj.																													2
1527819449	اسیایي	asyaayée	Asian	3	adj.																													2
1610617550750	عتیقه	ateeqá	ancient, very old, antique	4	adj.																													2
1527821343	اتومي	atomée	nuclear, atomic, atom	4	adj.																													2
1527822001	اتوڼی	atoNáy	last	3	adj.																													2
1527817158	عطري	atrée	fragrant, aromatic, sweet-smelling	4	adj.																													2
1590838961046	اتلسم	atulasúm	eighteenth	4	adj.																													2
1589025674899	اتیایم	atyaayúm, atiyaayúm	eightieth	4	adj.																													2
1527818785	اولی	awláy	irritable, grumpy, sour, grouchy	4	adj.																													2
1574785481606	اوتر	awtár	frightened, alarmed, distressed	4	adj.																													2
1662618824589	اوښتی	awÚxtay	converted, sprained, inflected, oblique	4	adj.																													3
1527817142	اولین	awaléen	first	4	adj.																													2
1527815661	اولنی	awwalunáy, awalunáy, awalináy	first, beginning	4	adj.																													3
1589025603430	اویایم	awyaayúm, awiyaayúm	seventieth	4	adj.																													2
1595256707217	عیان	ayáan, iyáan	visible, clear, obvious	4	adj.																												TRUE	2
1527817060	عیاش	ayáash	fast-liver, lover of pleasure, profligate, playboy, party animal	4	adj.																												TRUE	2
1527818656	عیني	aynée	optic, visual, pertaining to eyes, objective; the same	3	adj.																												TRUE	2
1578340121962	ازاد	azáad	free, released	4	adj.																													3
1527811766	اعظم	á'azam	big, high, great (Arabic)	3	adj.																													2
1527823437	عظیم	azéem	great, huge, outstanding, important	4	adj.																													3
1573149942245	ازغن	azghán, azghún	thorny, barbed	4	adj.																													3
1675435941176	بعید	ba'éed	distant, far, removed		adj.																													2
1527820918	بعضي	bá'zee	some, few, a number of, several	4	adj.																													3
1527823446	با احساس	baa ahsáas, baa ihsáas	sensitive, emotional	4	adj.																													2
1588787041518	با اخلاقه	baa akhláaqa, baa ikhláaqa	morally upstanding, of good character	4	adj.																													2
1622279166541	با ارزښته	baa arzíxta, baa arzúxta	valuable, of value, expensive	4	adj.																													2
1527820623	با استعداد	baa isti'dáad	talented, apt, able	4	adj.																													2
1671209320102	باادبه	baa`adába	well-mannered, respectful, polite, well brough-up		adj.																												true	2
1622278438726	باعظمته	baa`azamáta,baa`izmáta	magnificent, grand, great	4	adj.																													2
1527812367	باب	baab	widespread, fashionable, disseminated, accepted as usual	4	adj.																													3
1585827269643	بابیزه	baabéeza	overused, hackneyed, worthless	4	adj.																													2
1527819085	بادوک	baadóok	gaseous, that which causes gas in the stomach	4	adj.																													2
1690458824665	بادپیما	baadpaymáa	fast as the wind	4	adj.																													2
1527814346	بالغ	baalígh	adult, mature	4	adj.																													3
1527818362	باندینی	baandeenáy	upper, outside, external, foreign, someone else’s, another’s	4	adj.																													2
1582390120162	باندنی	baandináy	upper, outside, external, foreign, someone else’s, another’s	4	adj.																													2
1527820858	بانکي	baankée	pertaining to banking	4	adj.																													2
1576947104129	بانفوذ	baanUfóoz, baanufóoz	influential, powerful, effective	4	adj.																													2
1527822059	باریک	baaréek	thin, narrow, tender, soft, delicate, sensitive	4	adj.																													3
1527822060	باریک بین	baareek béen	penetrating, shrewd, understanding something to a fine degree	4	adj.																													2
1577065929343	بارسوخ	baarUsóokh, baarsóokh	firm, steadfast, composed, stable	4	adj.																													2
1527823723	باسواد	baasawáad, baasiwáad	literate	4	adj.																													2
1589020280620	باسي	baasée	rotten, stale, not fresh, left-over (food)	4	adj.																													3
1675435661345	باشرفه	baasharáfa	honorable, respectable, decent		adj.																													2
1527821119	باثبات	baasUbáat, baasabáat	stable, constant	4	adj.																													2
1618846912260	باتجربه	baatajraba, baatajriba, baatajrUbá	experienced	4	adj.																													2
1594807837096	باتینګڼي	baateengúNee	purple	4	adj.																													
1527821886	باطل	baatíl	invalid, null, revoked, futile, vain, useless	4	adj.																													2
1577238704871	باطني	baatinée	inside, inner; pertaining to inner things (as opposed to outward appearances)	4	adj.																													2
1527820433	باتور	baatóor	courageous, brave, valiant	4	adj.																													2
1527815058	باوري	baawarée	reliable, trustworthy, credible; confident, convinced, believing	4	adj.																													3
1527822182	باوجدان	baawijdáan	conscientious, scrupulous, having a conscience	4	adj.																													2
1571692880592	ببر	babár	shaggy, dissheveld, hairy, angry	4	adj.																													3
1578343389223	ببر سری	babar sáray	disheveled (person)	4	adj.																													2
1527818787	ببرو	babróo	unsightly, ugly, grumbler, grumpy	3	adj.																													2
1527821264	بډ	baD	equal, identical	4	adj.																													2
1527812956	بد اروا	bad arwáa	greedy, mean, miserly	4	adj.																													2
1527816862	بد ژمنی	bad jzmánay	faithless	3	adj.																													2
1527819229	بډای	baDáay	rich	4	adj.																													2
1577299160732	بدل	badál	changed, different, exchanged	4	adj.																													3
1527815996	بدبخت	budbákht	unlucky, unfortunate	4	adj.																													3
1527822610	بډبول	baDból	truthful, righteous	1	adj.																													2
1690458824735	بدبولی	badbólay	faithless	4	adj.																													2
1527821261	بدیهي	badeehée	clear, obvious	3	adj.																													2
1527815995	بدمرغه	badmárgha	unlucky, unfortunate	4	adj.																													2
1527814187	بدنام	badnáam	defamed, scandalous, having a bad name or reputation, notorious	4	adj.																													3
1527814195	بدنامه	badnáama	defamed, scandalous, having a bad name or reputation, notorious	4	adj.																													2
1527811241	بدتر	badtár	really bad, awful, worse	4	adj.																													3
1527818795	بدوربزی	badwarbzáy, badorabzáy	unsightly, ugly, grumbler, grumpy	4	adj.																													2
1527821305	بهادر	bahaadúr	brave, valiant, courageous	4	adj.																													3
1619592561763	بهاند	baháand	flowing, running	3	adj.																													2
1527816646	بهرنی	baharanáy, bahranáy	foreigner, foreign; outside, outer	4	adj. / n. m. anim. unisex																													3
1527813425	بخیل	bakhéel	stingy, miserly, closefisted, jealous	4	adj.																													2
1527814884	بختور	bakhtawár	blessed, fortunate, lucky	4	adj.																													3
1704702219552	بختور کول	bakhtawar kawúl	to bless, make fortunate		v. stat. comp. trans.	1527814884	bless																											3
1704702255079	بختور کېدل	bakhtawar kedúl	to be blessed, become fortunate		v. stat. comp. intrans.	1527814884	be	blessed																										2
1527813469	بخښونکی	bakhxóonkay	forgiving	4	adj.																													2
1527813841	بل	bal	on fire, burning	4	adj.																													2
1527815725	بلد	balád	knowledgeable, informed, acquainted, accustomed, used to, familiar with	4	adj.																													3
1658102140541	بلها	balháa, baláa	plentiful, copious, lots, plentiful	2	adj.																													2
1527811282	بڼ سترګی	baN stúrgay	shortsighted, weak-sighted	2	adj.																													2
1577301753727	بند	band	closed, blocked, stopped		adj.																													3
1594814412055	بندري	bandarée	harbour-	4	adj.																													2
1594904088405	بنګړی	bangRáy	collapsed, ruined, destroyed	2	adj.																													2
1574869800917	بڼیا	baNyáa	slightly-opened, half-opened, opened just a crack	2	adj.																													2
1527819150	برکتي	barakatée	blessed, plentiful, fruitful	4	adj.																													2
1527823767	برکتناک	barakatnáak	blessed	4	adj.																													2
1527819355	برباد	barbáad	ruined, destroyed, wasted, spent, perished	4	adj.																													3
1527811861	بربنډ	barbúnD	naked; bare	3	adj.																													3
1690458825578	بریمن	baraymán	successful, victorious	4	adj.																													2
1527821279	برهم	barhám	mixed up, spoiled, mixed	4	adj.																													2
1630938898418	برحق	barháq	just, right, fair	4	adj.																													2
1571524739886	برنده	barindá	winner (Farsi)	4	adj.																													2
1592559792458	برجد	barjád	established, set-up, fixed	2	adj.																													2
1527811959	برجسته	barjastá, barjistá	emminent, outstanding	4	adj.																													2
1566647560623	برخه من	barkha mún, barkha mán	having a share, sharing in a portion	4	adj.																													2
1582336118684	برخمن	barkhamún, barkhamán	having a share, sharing in a portion (برخه من)	4	adj.	1566647560623																												2
1527823142	برخوردار	barkhoordáar	fortunate, happy, prosperous	4	adj.																													2
1577300424128	برلاسی	barláasay	dominant, prevailing, ruling	2	adj.																													2
1527817052	برقرار	barqaráar	established, firm, stable, sound	4	adj.																													2
1527816616	برقي	barqée	electric	4	adj.																													3
1527821051	برتر	bartár	superior, better, higher	3	adj.																													2
1527812235	برطرف	bartaráf	fired (from a job), dismissed	4	adj.																													2
1527811850	بریالی	baryaaláy	victorious, succeding in, successful	4	adj.																													3
1527822447	بسیط	baséet	wide, broad, simple, uncomplicated, elementary	4	adj.																													2
1631221749424	بشردوستانه	bashardostaaná	humanitarian	4	adj.																													2
1527812220	بشري	basharée	human, mortal, humanitarian	4	adj.																													2
1591872154088	بسیا	basyáa	sufficient; processed, cultivated	4	adj.																													2
1527820051	بطني	batnée	abdominal, visceral	4	adj.																													2
1527812960	بښاوو	baxaawoo, baxáaw	generous, magnanimous	3	adj.																													2
1527823350	بې عیب	be 'áyb	perfect, without blemish or shame, irreproachable	4	adj.																													2
1527823351	بې عیبه	be 'áyba	perfect, without blemish or shame, irreproachable	4	adj.																													2
1527816316	بې ادب	be adáb	disrespectful, uncouth, ill-bred, ill-mannered	4	adj.																													2
1527816151	بې اندازې	be andaazé	extreme, excessive, extraordinary	4	adj.																													2
1618947503103	بې انډواله	be anDwáala	imbalanced	4	adj.																													2
1527815063	بې ارامه	be aráama	uneasy, disquieted, disturbed, anxious, nervous	4	adj.																													3
1527822782	بې ازاره	be azáara	harmless, inoffensive	4	adj.																													2
1594835887398	بې باکه	be báaka	bold, fearless, carefree, careless, unafraid	4	adj.																													2
1678173903266	بې برخې	be bárkhe	deprived, left out		adj.																													2
1527818618	بې بیې	be báye	free, free of charge	3	adj.																													2
1527820089	بې بنسټه	be bunsúTa	baseless, without backing/proof/foundation	3	adj.																													2
1527812488	بې چاره	be chaará	poor thing, pitiful	3	adj.																													2
1588786555493	بې ډبه	be Dába	ridiculous, sensless, absurd	4	adj.																													2
1527814063	بې دین	be deen	atheist, godless, without faith	4	adj.																													2
1527817322	بې دفاع	be difáa'	defenceless	4	adj.																													2
1527817425	بې دل	be díl	grieved, stressed, depressed	2	adj.																													3
1527819826	بې ایمانه	be eemáana	faithless, treacherous, cowardly, dishonest, scoundrel	4	adj.																													3
1661858564119	بې غرضه	be gharáza	not bothering anyone, not of concern	4	adj.																													3
1527822923	بې غیرت	be ghayrát	scoundrel, dishonourable person, coward	4	adj.																													2
1527822968	بې غشه	be ghúsha	pure, unadulterated, sincere	2	adj.																													2
1527817609	بې ګناه	be gUnáah	innocent, sinless	3	adj.																													3
1588782497585	بې هوشه	be hósha	without feeling, unconscious, in a faint, stunned	4	adj.																													3
1708464971839	بې هوشه کول	be hosha kawúl	to knock unconscious, to stun, to make faint	4	v. stat. comp. trans.	1588782497585	stun,stuns,stunning,stunned																											3
1708464975771	بې هوشه کېدل	be hosha kedúl	to go unconscious, to be stunned, to faint	4	v. stat. comp. intrans.	1588782497585	be	stunned																										3
1527819823	بې انصافه	be insáafa	unjust, unfair	3	adj.																													3
1566473733009	بې انتها	be intiháa	limtless, endless	4	adj.																													3
1527812490	بې کار	be kaar	useless	4	adj.																													2
1577822319033	بې کبره	be kábra, be kíbra	humble, without pride	3	adj.																													2
1527819527	بې کسه	be kása	having no relatives, alone, having no guardian	4	adj.																													2
1527811935	بې خونده	be khwánda	tastless, poor, bad, ruined, dull, bland	3	adj.																													3
1527821709	بې کوره	be kóra	homeless; single, unmarried, bachelor, without family	4	adj.																													2
1586518918929	بې لارې	be láare	astray, on the wrong path, erring	3	adj.																													2
1527813953	بې لحاظ	be liháaz	impolite, inconsiderate, crude	3	adj.																													2
1575642990975	بې معنیٰ	be ma'náa	meaningless, senseless, vain, stupid	4	adj.																													2
1586203586642	بې معني	be ma'nee	meaningless, senseless, vain, stupid	4	adj.																													
1527812049	بې مانا	be maanáa	meaningless	3	adj.																													2
1527821270	بې منع	be mán'a	free, clear, unimpeded, without hindrance	2	adj.																													2
1678972764874	بې معیاره	be miyáara	non-standard, low quality, unregulated		adj.																													2
1527821571	بې موجبه	be mojíba, be mawjíba	without cause, unwarranted, unjustified, pointless	3	adj.																													2
1527821081	بې نام	be náam	inglorious	3	adj.																													2
1527819825	بې نصیبه	be naséeba	deprived of, unsuccessful	4	adj.																													2
1527818303	بې نښه	be núxa	unmarked	4	adj.																													2
1527821876	بې پایه	be páaya	endless, unending, measureless, infinite, boundless	4	adj.																													2
1527816342	بې پلوه	be paláwa	neutral	3	adj.																													2
1527822337	بې پرې	be paré	equitable, fair, even-handed, impartial, just, neutral	4	adj.																													2
1661754309668	بې پرته	be práta	shameless, talkative	2	adj.																													2
1527818381	بې پروا	be parwáa	unconcerned, inattentive, indifferent, apathetic, careless	4	adj.																													3
1713871480856	لا پروا	laa parwáa	unconcerned, inattentive, indifferent, apathetic, careless	4	adj.																													2
1527820958	بې قراره	be qaráara	uneasy, anxious, unstable, changeable	4	adj.																													2
1527817605	بې قصور	be qUsóor	innocent, faultless	4	adj.																													2
1732377086531	بې قصوره	be qUsóora	innocent, faultless	4	adj.																													2
1527811504	بې رحمه	be ráhma	stern, ruthless, cruel, harsh	4	adj.																													3
1527811331	بې ریا	be riyáa	sincere, straightforward, genuine	4	adj.																													2
1527816048	بې ساری	be sáaray	unusual, unparallel, unprecedented, without equal	3	adj.																													2
1527813733	بې ثبات	be sabáat, be sUbáat	inconsistent, changeable, inconstant	4	adj.																													2
1527814439	بې صبر	be sábir, be sábur	impatient	4	adj.																													2
1527814440	بې صبره	be sábra	impatient	4	adj.																													3
1674053879348	بې ثمره	be samára	fruitless, in vain		adj.																													2
1527813678	بې سره	be sára	neglected, stray, without oversight, homeless	4	adj.																													2
1527817684	بې سرپرسته	be sarparásta	without a guardian, caretaker, or husband, orphaned or widowed	4	adj.																													2
1527812505	بې ستره	be sátra	uncovered, dishonored, disgraced	4	adj.																													2
1578617942339	بې شرم	be shárm, be shárum	shameless, immodest	4	adj.																													2
1588162448774	بې شیمې	be sheemé	without energy or vigour, feeling weak	4	adj.																													2
1527818386	بې شناخته	be shnáakhta, be shináakhta, be shanáakhta	unknown, unacquainted; without a tombstone	3	adj.																													2
1577303332532	بې سده	be súda	unconcious	3	adj.																													2
1527811821	بې سواده	be swáada, be sawáada, be siwáada	illiterate, uneducated	3	adj.																													2
1575057415723	بې طالع	be taalí'	unfortunate, unlucky	3	adj.																													2
1527811822	بې تعلیمه	be taléema	uneducated	3	adj.																													2
1527815861	بې طرفه	be taráfa	neutral	4	adj.																													2
1527819526	بې څوکه	be tsóka	having no relatives, alone, having no guardian	4	adj.																													2
1650696851218	بې اصوله	be Usóola	not conforming to regulations/rules, illegal	4	adj.																													2
1527816265	بې وفا	be wafáa	unfaithful, disloyal	4	adj.																													3
1671709045089	بې وسلې	be waslé	unarmed, disarmed; unequipped		adj.																													2
1527822832	بې وټه	be wáTa, be wúTa	pure, unadulterated	3	adj.																													2
1568407749309	بې وقوف	be wuqóof	stupid, dumb, idiot, lacking understanding, senseless	4	adj.																													3
1672910810614	بې وسه	be wúsa	powerless, helpless		adj.																													3
1527813333	بېعقل	beáqul	idiot, stupid, moron, foolish	3	adj.																													2
1622713361142	بېباکه	bebáaka	bold, fearless, carefree, careless, unafraid	4	adj.																													2
1527812489	بېچاره	bechaará	poor thing, pitiful	4	adj.																													2
1527822539	بیده	beedú	asleep	3	adj.																													2
1527812494	بیمار	beemáar	sick	3	adj.																													3
1527822609	بینا	beenáa	able to see (not blind), seeing, sharpsighted	4	adj.																													3
1527812495	بېګانه	begaaná	foreign, unfamiliar	4	adj.																													2
1662630881793	بېګانی	begaanáy	of last night, of the previous evening; of evening, dusk	4	adj.																													2
1589023481147	بېګار	begáar	ruined, fallen apart, in bad condition	4	adj.																													2
1527821053	بېغمه	begháma	carefree, unconcerned, peaceful	4	adj.																													2
1527813080	بېګړا	begRáa	lazy, languid	3	adj.																													2
1527817610	بېګنا	begUnáa	innocent, sinless	4	adj.																													2
1675281880640	بېګناه	begUnáah	innocent, sinless		adj.																													2
1527819642	بېهو	behóo, behó	wild, frightened	3	adj.																													2
1527820010	بېهوش	behósh	without feeling, unconscious, in a faint	4	adj.																													2
1527820011	بېهوشه	behósha	without feeling, unconscious, in a faint	4	adj.																													2
1577377788698	بېکار	bekáar	unemployed, unemployment, jobless, useless, awful	4	adj.																													2
1703659600117	بې کاره	be káara	unemployed, unemployment, jobless, useless, awful	4	adj.																													3
1527818895	بېخوده	bekhóoda, bekhwÚda, bekhwúda	lost consciousness, fainted, intoxicated, drunk, lost self-control	4	adj.																													2
1527811936	بېخونده	bekhwanda	tastless, poor, bad, ruined, dull, bland	4	adj.																													
1527812031	بېل	bel	separate, different, various	3	adj.																													3
1527813752	بېلابېل	belaabél	different, various	4	adj.																													2
1527817490	بېران	beráan	unconscious, fainted, stunned, stupified	2	adj.																													2
1527818769	بېړنی	beRanáy	emergency	4	adj.																													2
1664030003451	بېسیم	beséem	wireless	4	adj.																													2
1527821609	بېسده	besúda	fainted, unconscious; extreme ??	3	adj.																													2
1527811819	بېسواده	beswaada, besawáada, besiwáada	illiterate, uneducated	4	adj.																													2
1602178752892	بېسوادي	beswaadee, besawáadee, besiwaadée	illiteracy, lack of education	3	adj.																													2
1527820738	بېوزله	bewázla	poor, needy, destitute, helpless	4	adj.									بېوزلان	bewazláan																			2
